,Department,Department_n,salary,salary_n
103,sales,7,medium,2
104,sales,7,medium,2
105,accounting,2,medium,2
106,accounting,2,medium,2
107,accounting,2,medium,2
108,hr,3,medium,2
109,hr,3,medium,2
110,hr,3,medium,2
111,hr,3,high,0
112,technical,9,low,1
113,technical,9,medium,2
114,technical,9,medium,2
115,technical,9,medium,2
116,technical,9,medium,2
117,technical,9,low,1
118,technical,9,low,1
119,technical,9,low,1
120,technical,9,low,1
121,technical,9,low,1
122,technical,9,low,1
123,support,8,low,1
124,support,8,low,1
125,support,8,low,1
126,support,8,low,1
127,support,8,low,1
128,support,8,low,1
129,support,8,low,1
130,support,8,low,1
131,support,8,low,1
132,support,8,low,1
133,support,8,low,1
134,technical,9,low,1
135,technical,9,low,1
136,technical,9,low,1
137,management,4,low,1
138,IT,0,low,1
139,IT,0,low,1
140,IT,0,low,1
141,IT,0,low,1
142,IT,0,low,1
143,product_mng,6,low,1
144,product_mng,6,low,1
145,product_mng,6,low,1
146,product_mng,6,low,1
147,IT,0,low,1
148,marketing,5,low,1
149,marketing,5,low,1
150,marketing,5,low,1
151,marketing,5,low,1
152,marketing,5,low,1
153,marketing,5,low,1
154,sales,7,low,1
155,accounting,2,low,1
156,support,8,low,1
157,technical,9,low,1
158,management,4,low,1
159,marketing,5,low,1
160,marketing,5,low,1
161,marketing,5,low,1
162,sales,7,low,1
163,sales,7,low,1
164,sales,7,low,1
165,sales,7,low,1
166,sales,7,low,1
167,sales,7,low,1
168,sales,7,low,1
169,sales,7,low,1
170,sales,7,low,1
171,sales,7,low,1
172,sales,7,low,1
173,sales,7,low,1
174,sales,7,low,1
175,sales,7,low,1
176,sales,7,low,1
177,sales,7,medium,2
178,sales,7,medium,2
179,sales,7,medium,2
180,sales,7,medium,2
181,accounting,2,medium,2
182,accounting,2,medium,2
183,accounting,2,medium,2
184,hr,3,medium,2
185,hr,3,medium,2
186,hr,3,medium,2
187,hr,3,medium,2
188,technical,9,medium,2
189,technical,9,high,0
190,technical,9,low,1
191,technical,9,medium,2
192,technical,9,medium,2
193,technical,9,medium,2
194,technical,9,medium,2
195,technical,9,low,1
196,technical,9,low,1
197,technical,9,low,1
198,technical,9,low,1
199,support,8,low,1
200,support,8,low,1
201,support,8,low,1
202,support,8,low,1
203,support,8,low,1
204,support,8,low,1
205,support,8,low,1
206,support,8,low,1
207,support,8,low,1
208,support,8,low,1
209,support,8,low,1
210,technical,9,low,1
211,technical,9,low,1
212,technical,9,low,1
213,management,4,low,1
214,IT,0,low,1
215,IT,0,low,1
216,IT,0,low,1
217,IT,0,low,1
218,IT,0,low,1
219,product_mng,6,low,1
220,product_mng,6,low,1
221,product_mng,6,low,1
222,product_mng,6,low,1
223,IT,0,low,1
224,accounting,2,low,1
225,accounting,2,low,1
226,hr,3,low,1
227,hr,3,low,1
228,hr,3,low,1
229,marketing,5,low,1
230,marketing,5,low,1
231,sales,7,low,1
232,accounting,2,low,1
233,support,8,low,1
234,technical,9,low,1
235,management,4,low,1
236,marketing,5,low,1
237,marketing,5,low,1
238,marketing,5,low,1
239,sales,7,low,1
240,sales,7,low,1
241,sales,7,low,1
242,sales,7,low,1
243,sales,7,low,1
244,sales,7,low,1
245,sales,7,low,1
246,sales,7,low,1
247,sales,7,low,1
248,sales,7,low,1
249,sales,7,low,1
250,sales,7,low,1
251,sales,7,low,1
252,sales,7,low,1
253,sales,7,low,1
254,sales,7,low,1
255,sales,7,medium,2
256,sales,7,medium,2
257,sales,7,medium,2
258,accounting,2,medium,2
259,accounting,2,medium,2
260,accounting,2,medium,2
261,hr,3,medium,2
262,hr,3,medium,2
263,hr,3,medium,2
264,hr,3,medium,2
265,technical,9,medium,2
266,technical,9,medium,2
267,technical,9,high,0
268,technical,9,low,1
269,technical,9,medium,2
270,technical,9,medium,2
271,technical,9,medium,2
272,technical,9,medium,2
273,technical,9,low,1
274,technical,9,low,1
275,technical,9,low,1
276,support,8,low,1
277,support,8,low,1
278,support,8,low,1
279,support,8,low,1
280,support,8,low,1
281,support,8,low,1
282,support,8,low,1
283,support,8,low,1
284,support,8,low,1
285,support,8,low,1
286,support,8,low,1
287,technical,9,low,1
288,technical,9,low,1
289,technical,9,low,1
290,management,4,low,1
291,IT,0,low,1
292,IT,0,low,1
293,IT,0,low,1
294,IT,0,medium,2
295,IT,0,medium,2
296,product_mng,6,medium,2
297,product_mng,6,medium,2
298,product_mng,6,medium,2
299,product_mng,6,medium,2
300,IT,0,medium,2
301,RandD,1,medium,2
302,RandD,1,medium,2
303,RandD,1,medium,2
304,RandD,1,medium,2
305,RandD,1,medium,2
306,marketing,5,high,0
307,sales,7,low,1
308,accounting,2,medium,2
309,support,8,medium,2
310,technical,9,medium,2
311,management,4,medium,2
312,marketing,5,low,1
313,marketing,5,low,1
314,marketing,5,low,1
315,sales,7,low,1
316,sales,7,low,1
317,sales,7,low,1
318,sales,7,low,1
319,sales,7,low,1
320,sales,7,low,1
321,sales,7,low,1
322,sales,7,low,1
323,sales,7,low,1
324,sales,7,low,1
325,sales,7,low,1
326,sales,7,low,1
327,sales,7,low,1
328,sales,7,low,1
329,sales,7,low,1
330,sales,7,low,1
331,sales,7,low,1
332,sales,7,low,1
333,sales,7,medium,2
334,accounting,2,medium,2
335,accounting,2,medium,2
336,accounting,2,medium,2
337,hr,3,medium,2
338,hr,3,medium,2
339,hr,3,medium,2
340,hr,3,medium,2
341,technical,9,medium,2
342,technical,9,medium,2
343,technical,9,medium,2
344,technical,9,medium,2
345,technical,9,high,0
346,technical,9,low,1
347,technical,9,medium,2
348,technical,9,medium,2
349,technical,9,medium,2
350,technical,9,medium,2
351,technical,9,low,1
352,support,8,low,1
353,support,8,low,1
354,support,8,low,1
355,support,8,low,1
356,support,8,low,1
357,support,8,low,1
358,support,8,low,1
359,support,8,low,1
360,support,8,low,1
361,support,8,low,1
362,support,8,low,1
363,technical,9,low,1
364,technical,9,low,1
365,technical,9,low,1
366,management,4,low,1
367,IT,0,low,1
368,IT,0,low,1
369,IT,0,low,1
370,IT,0,low,1
371,IT,0,low,1
372,product_mng,6,medium,2
373,product_mng,6,medium,2
374,product_mng,6,medium,2
375,product_mng,6,medium,2
376,IT,0,medium,2
377,accounting,2,medium,2
378,accounting,2,medium,2
379,hr,3,medium,2
380,hr,3,medium,2
381,hr,3,medium,2
382,marketing,5,medium,2
383,sales,7,medium,2
384,accounting,2,high,0
385,support,8,low,1
386,technical,9,medium,2
387,management,4,medium,2
388,marketing,5,medium,2
389,marketing,5,medium,2
390,marketing,5,low,1
391,sales,7,low,1
392,sales,7,low,1
393,sales,7,low,1
394,sales,7,low,1
395,sales,7,low,1
396,sales,7,low,1
397,sales,7,low,1
398,sales,7,low,1
399,sales,7,low,1
400,sales,7,low,1
401,sales,7,low,1
402,sales,7,low,1
403,sales,7,low,1
404,sales,7,low,1
405,sales,7,low,1
406,sales,7,low,1
407,sales,7,low,1
408,sales,7,low,1
409,sales,7,low,1
410,accounting,2,low,1
411,accounting,2,medium,2
412,accounting,2,medium,2
413,hr,3,medium,2
414,hr,3,medium,2
415,hr,3,medium,2
416,hr,3,medium,2
417,technical,9,medium,2
418,technical,9,medium,2
419,technical,9,medium,2
420,technical,9,medium,2
421,technical,9,medium,2
422,technical,9,medium,2
423,technical,9,high,0
424,technical,9,low,1
425,technical,9,medium,2
426,technical,9,medium,2
427,technical,9,medium,2
428,support,8,medium,2
429,support,8,low,1
430,support,8,low,1
431,support,8,low,1
432,support,8,low,1
433,support,8,low,1
434,support,8,low,1
435,support,8,low,1
436,support,8,low,1
437,support,8,low,1
438,support,8,low,1
439,technical,9,low,1
440,technical,9,low,1
441,technical,9,low,1
442,management,4,low,1
443,IT,0,low,1
444,IT,0,low,1
445,IT,0,low,1
446,IT,0,low,1
447,IT,0,low,1
448,product_mng,6,low,1
449,product_mng,6,low,1
450,product_mng,6,medium,2
451,product_mng,6,medium,2
452,IT,0,medium,2
453,RandD,1,medium,2
454,RandD,1,medium,2
455,RandD,1,medium,2
456,RandD,1,medium,2
457,RandD,1,medium,2
458,marketing,5,medium,2
459,sales,7,medium,2
460,accounting,2,medium,2
461,support,8,medium,2
462,technical,9,high,0
463,management,4,low,1
464,marketing,5,medium,2
465,marketing,5,medium,2
466,marketing,5,medium,2
467,sales,7,medium,2
468,sales,7,low,1
469,sales,7,low,1
470,sales,7,low,1
471,sales,7,low,1
472,sales,7,low,1
473,sales,7,low,1
474,sales,7,low,1
475,sales,7,low,1
476,sales,7,low,1
477,sales,7,low,1
478,sales,7,low,1
479,sales,7,low,1
480,sales,7,low,1
481,sales,7,low,1
482,sales,7,low,1
483,sales,7,low,1
484,sales,7,low,1
485,sales,7,low,1
486,accounting,2,low,1
487,accounting,2,low,1
488,accounting,2,low,1
489,hr,3,medium,2
490,hr,3,medium,2
491,hr,3,medium,2
492,hr,3,medium,2
493,technical,9,medium,2
494,technical,9,medium,2
495,technical,9,medium,2
496,technical,9,medium,2
497,technical,9,medium,2
498,technical,9,medium,2
499,technical,9,medium,2
500,technical,9,medium,2
501,technical,9,high,0
502,technical,9,low,1
503,technical,9,medium,2
504,support,8,medium,2
505,support,8,medium,2
506,support,8,medium,2
507,support,8,low,1
508,support,8,low,1
509,support,8,low,1
510,support,8,low,1
511,support,8,low,1
512,support,8,low,1
513,support,8,low,1
514,support,8,low,1
515,technical,9,low,1
516,technical,9,low,1
517,technical,9,low,1
518,management,4,low,1
519,IT,0,low,1
520,IT,0,low,1
521,IT,0,low,1
522,IT,0,low,1
523,IT,0,low,1
524,product_mng,6,low,1
525,product_mng,6,low,1
526,product_mng,6,low,1
527,product_mng,6,low,1
528,IT,0,medium,2
529,accounting,2,medium,2
530,accounting,2,medium,2
531,hr,3,medium,2
532,hr,3,medium,2
533,hr,3,medium,2
534,marketing,5,medium,2
535,sales,7,medium,2
536,accounting,2,medium,2
537,support,8,medium,2
538,technical,9,medium,2
539,management,4,medium,2
540,marketing,5,high,0
541,marketing,5,low,1
542,marketing,5,medium,2
543,sales,7,medium,2
544,sales,7,medium,2
545,sales,7,medium,2
546,sales,7,low,1
547,sales,7,low,1
548,sales,7,low,1
549,sales,7,low,1
550,sales,7,low,1
551,sales,7,low,1
552,sales,7,low,1
553,sales,7,low,1
554,sales,7,low,1
555,sales,7,low,1
556,sales,7,low,1
557,sales,7,low,1
558,sales,7,low,1
559,sales,7,low,1
560,sales,7,low,1
561,sales,7,low,1
562,accounting,2,low,1
563,accounting,2,low,1
564,accounting,2,low,1
565,hr,3,low,1
566,hr,3,low,1
567,hr,3,medium,2
568,hr,3,medium,2
569,technical,9,medium,2
570,technical,9,medium,2
571,technical,9,medium,2
572,technical,9,medium,2
573,technical,9,medium,2
574,technical,9,medium,2
575,technical,9,medium,2
576,technical,9,medium,2
577,technical,9,medium,2
578,technical,9,medium,2
579,technical,9,high,0
580,support,8,low,1
581,support,8,medium,2
582,support,8,medium,2
583,support,8,medium,2
584,support,8,medium,2
585,support,8,low,1
586,support,8,low,1
587,support,8,low,1
588,support,8,low,1
589,support,8,low,1
590,support,8,low,1
591,technical,9,low,1
592,technical,9,low,1
593,technical,9,low,1
594,management,4,low,1
595,IT,0,low,1
596,IT,0,low,1
597,IT,0,low,1
598,IT,0,low,1
599,IT,0,low,1
600,product_mng,6,low,1
601,product_mng,6,low,1
602,product_mng,6,low,1
603,product_mng,6,low,1
604,IT,0,low,1
605,RandD,1,low,1
606,RandD,1,medium,2
607,RandD,1,medium,2
608,RandD,1,medium,2
609,RandD,1,medium,2
610,marketing,5,medium,2
611,sales,7,medium,2
612,accounting,2,medium,2
613,support,8,medium,2
614,technical,9,medium,2
615,management,4,medium,2
616,marketing,5,medium,2
617,marketing,5,medium,2
618,marketing,5,high,0
619,sales,7,low,1
620,sales,7,medium,2
621,sales,7,medium,2
622,sales,7,medium,2
623,sales,7,medium,2
624,sales,7,low,1
625,sales,7,low,1
626,sales,7,low,1
627,sales,7,low,1
628,sales,7,low,1
629,sales,7,low,1
630,sales,7,low,1
631,sales,7,low,1
632,sales,7,low,1
633,sales,7,low,1
634,sales,7,low,1
635,sales,7,low,1
636,sales,7,low,1
637,sales,7,low,1
638,accounting,2,low,1
639,accounting,2,low,1
640,accounting,2,low,1
641,hr,3,low,1
642,hr,3,low,1
643,hr,3,low,1
644,hr,3,low,1
645,technical,9,medium,2
646,technical,9,medium,2
647,technical,9,medium,2
648,technical,9,medium,2
649,technical,9,medium,2
650,technical,9,medium,2
651,technical,9,medium,2
652,technical,9,medium,2
653,technical,9,medium,2
654,technical,9,medium,2
655,technical,9,medium,2
656,support,8,medium,2
657,support,8,high,0
658,support,8,low,1
659,support,8,medium,2
660,support,8,medium,2
661,support,8,medium,2
662,support,8,medium,2
663,support,8,low,1
664,support,8,low,1
665,support,8,low,1
666,support,8,low,1
667,technical,9,low,1
668,technical,9,low,1
669,technical,9,low,1
670,management,4,low,1
671,IT,0,low,1
672,IT,0,low,1
673,IT,0,low,1
674,IT,0,low,1
675,IT,0,low,1
676,product_mng,6,low,1
677,product_mng,6,low,1
678,product_mng,6,low,1
679,product_mng,6,low,1
680,IT,0,low,1
681,sales,7,low,1
682,sales,7,low,1
683,sales,7,low,1
684,sales,7,medium,2
685,sales,7,medium,2
686,marketing,5,medium,2
687,sales,7,medium,2
688,accounting,2,medium,2
689,support,8,medium,2
690,technical,9,medium,2
691,management,4,medium,2
692,marketing,5,medium,2
693,marketing,5,medium,2
694,marketing,5,medium,2
695,sales,7,medium,2
696,sales,7,high,0
697,sales,7,low,1
698,sales,7,medium,2
699,sales,7,medium,2
700,sales,7,medium,2
701,sales,7,medium,2
702,sales,7,low,1
703,sales,7,low,1
704,sales,7,low,1
705,sales,7,low,1
706,sales,7,low,1
707,sales,7,low,1
708,sales,7,low,1
709,sales,7,low,1
710,sales,7,low,1
711,sales,7,low,1
712,sales,7,low,1
713,sales,7,low,1
714,accounting,2,low,1
715,accounting,2,low,1
716,accounting,2,low,1
717,hr,3,low,1
718,hr,3,low,1
719,hr,3,low,1
720,hr,3,low,1
721,technical,9,low,1
722,technical,9,low,1
723,technical,9,medium,2
724,technical,9,medium,2
725,technical,9,medium,2
726,technical,9,medium,2
727,technical,9,medium,2
728,technical,9,medium,2
729,technical,9,medium,2
730,technical,9,medium,2
731,technical,9,medium,2
732,support,8,medium,2
733,support,8,medium,2
734,support,8,medium,2
735,support,8,high,0
736,support,8,low,1
737,support,8,medium,2
738,support,8,medium,2
739,support,8,medium,2
740,support,8,medium,2
741,support,8,low,1
742,support,8,low,1
743,technical,9,low,1
744,technical,9,low,1
745,technical,9,low,1
746,management,4,low,1
747,IT,0,low,1
748,IT,0,low,1
749,IT,0,low,1
750,IT,0,low,1
751,IT,0,low,1
752,product_mng,6,low,1
753,product_mng,6,low,1
754,product_mng,6,low,1
755,product_mng,6,low,1
756,IT,0,low,1
757,sales,7,low,1
758,sales,7,low,1
759,sales,7,low,1
760,sales,7,low,1
761,sales,7,low,1
762,marketing,5,medium,2
763,sales,7,medium,2
764,accounting,2,medium,2
765,support,8,medium,2
766,technical,9,medium,2
767,management,4,medium,2
768,marketing,5,medium,2
769,marketing,5,medium,2
770,marketing,5,medium,2
771,sales,7,medium,2
772,sales,7,medium,2
773,sales,7,medium,2
774,sales,7,high,0
775,sales,7,low,1
776,sales,7,medium,2
777,sales,7,medium,2
778,sales,7,medium,2
779,sales,7,medium,2
780,sales,7,low,1
781,sales,7,low,1
782,sales,7,low,1
783,sales,7,low,1
784,sales,7,low,1
785,sales,7,low,1
786,sales,7,low,1
787,sales,7,low,1
788,sales,7,low,1
789,sales,7,low,1
790,accounting,2,low,1
791,accounting,2,low,1
792,accounting,2,low,1
793,hr,3,low,1
794,hr,3,low,1
795,hr,3,low,1
796,hr,3,low,1
797,technical,9,low,1
798,technical,9,low,1
799,technical,9,low,1
800,technical,9,low,1
801,technical,9,medium,2
802,technical,9,medium,2
803,technical,9,medium,2
804,technical,9,medium,2
805,technical,9,medium,2
806,technical,9,medium,2
807,technical,9,medium,2
808,support,8,medium,2
809,support,8,medium,2
810,support,8,medium,2
811,support,8,medium,2
812,support,8,medium,2
813,support,8,high,0
814,support,8,low,1
815,support,8,medium,2
816,support,8,medium,2
817,support,8,medium,2
818,support,8,medium,2
819,technical,9,low,1
820,technical,9,low,1
821,technical,9,low,1
822,management,4,low,1
823,IT,0,low,1
824,IT,0,low,1
825,IT,0,low,1
826,IT,0,low,1
827,IT,0,low,1
828,product_mng,6,low,1
829,product_mng,6,low,1
830,product_mng,6,low,1
831,product_mng,6,low,1
832,IT,0,low,1
833,RandD,1,low,1
834,RandD,1,low,1
835,RandD,1,low,1
836,RandD,1,low,1
837,RandD,1,low,1
838,marketing,5,low,1
839,sales,7,low,1
840,accounting,2,medium,2
841,support,8,medium,2
842,technical,9,medium,2
843,management,4,medium,2
844,marketing,5,medium,2
845,marketing,5,medium,2
846,marketing,5,medium,2
847,sales,7,medium,2
848,sales,7,medium,2
849,sales,7,medium,2
850,sales,7,medium,2
851,sales,7,medium,2
852,sales,7,high,0
853,sales,7,low,1
854,sales,7,medium,2
855,sales,7,medium,2
856,sales,7,medium,2
857,sales,7,medium,2
858,sales,7,low,1
859,sales,7,low,1
860,sales,7,low,1
861,sales,7,low,1
862,sales,7,low,1
863,sales,7,low,1
864,sales,7,low,1
865,sales,7,low,1
866,accounting,2,low,1
867,accounting,2,low,1
868,accounting,2,low,1
869,hr,3,low,1
870,hr,3,low,1
871,hr,3,low,1
872,hr,3,low,1
873,technical,9,low,1
874,technical,9,low,1
875,technical,9,low,1
876,technical,9,low,1
877,technical,9,low,1
878,technical,9,low,1
879,technical,9,medium,2
880,technical,9,medium,2
881,technical,9,medium,2
882,technical,9,medium,2
883,technical,9,medium,2
884,support,8,medium,2
885,support,8,medium,2
886,support,8,medium,2
887,support,8,medium,2
888,support,8,medium,2
889,support,8,medium,2
890,support,8,medium,2
891,support,8,high,0
892,support,8,low,1
893,support,8,medium,2
894,support,8,medium,2
895,technical,9,medium,2
896,technical,9,medium,2
897,technical,9,low,1
898,management,4,low,1
899,IT,0,low,1
900,IT,0,low,1
901,IT,0,low,1
902,IT,0,low,1
903,IT,0,low,1
904,product_mng,6,low,1
905,product_mng,6,low,1
906,product_mng,6,low,1
907,product_mng,6,low,1
908,IT,0,low,1
909,sales,7,low,1
910,sales,7,low,1
911,sales,7,low,1
912,sales,7,low,1
913,sales,7,low,1
914,marketing,5,low,1
915,sales,7,low,1
916,accounting,2,low,1
917,support,8,low,1
918,technical,9,medium,2
919,management,4,medium,2
920,marketing,5,medium,2
921,marketing,5,medium,2
922,marketing,5,medium,2
923,sales,7,medium,2
924,sales,7,medium,2
925,sales,7,medium,2
926,sales,7,medium,2
927,sales,7,medium,2
928,sales,7,medium,2
929,sales,7,medium,2
930,sales,7,high,0
931,sales,7,low,1
932,sales,7,medium,2
933,sales,7,medium,2
934,sales,7,medium,2
935,sales,7,medium,2
936,sales,7,low,1
937,sales,7,low,1
938,sales,7,low,1
939,sales,7,low,1
940,sales,7,low,1
941,sales,7,low,1
942,accounting,2,low,1
943,accounting,2,low,1
944,accounting,2,low,1
945,hr,3,low,1
946,hr,3,low,1
947,hr,3,low,1
948,hr,3,low,1
949,technical,9,low,1
950,technical,9,low,1
951,technical,9,low,1
952,technical,9,low,1
953,technical,9,low,1
954,technical,9,low,1
955,technical,9,low,1
956,technical,9,low,1
957,technical,9,medium,2
958,technical,9,medium,2
959,technical,9,medium,2
960,support,8,medium,2
961,support,8,medium,2
962,support,8,medium,2
963,support,8,medium,2
964,support,8,medium,2
965,support,8,medium,2
966,support,8,medium,2
967,support,8,medium,2
968,support,8,medium,2
969,support,8,high,0
970,support,8,low,1
971,technical,9,medium,2
972,technical,9,medium,2
973,technical,9,medium,2
974,management,4,medium,2
975,IT,0,low,1
976,IT,0,low,1
977,IT,0,low,1
978,IT,0,low,1
979,IT,0,low,1
980,product_mng,6,low,1
981,product_mng,6,low,1
982,product_mng,6,low,1
983,product_mng,6,low,1
984,IT,0,low,1
985,RandD,1,low,1
986,RandD,1,low,1
987,RandD,1,low,1
988,RandD,1,low,1
989,RandD,1,low,1
990,marketing,5,low,1
991,sales,7,low,1
992,accounting,2,low,1
993,support,8,low,1
994,technical,9,low,1
995,management,4,low,1
996,marketing,5,medium,2
997,marketing,5,medium,2
998,marketing,5,medium,2
999,sales,7,medium,2
1000,sales,7,medium,2
1001,sales,7,medium,2
1002,sales,7,medium,2
1003,sales,7,medium,2
1004,sales,7,medium,2
1005,sales,7,medium,2
1006,sales,7,medium,2
1007,sales,7,medium,2
1008,sales,7,high,0
1009,sales,7,low,1
1010,sales,7,medium,2
1011,sales,7,medium,2
1012,sales,7,medium,2
1013,sales,7,medium,2
1014,sales,7,low,1
1015,sales,7,low,1
1016,sales,7,low,1
1017,sales,7,low,1
1018,accounting,2,low,1
1019,accounting,2,low,1
1020,accounting,2,low,1
1021,hr,3,low,1
1022,hr,3,low,1
1023,hr,3,low,1
1024,hr,3,low,1
1025,technical,9,low,1
1026,technical,9,low,1
1027,technical,9,low,1
1028,technical,9,low,1
1029,technical,9,low,1
1030,technical,9,low,1
1031,technical,9,low,1
1032,technical,9,low,1
1033,technical,9,low,1
1034,technical,9,low,1
1035,technical,9,medium,2
1036,support,8,medium,2
1037,support,8,medium,2
1038,support,8,medium,2
1039,support,8,medium,2
1040,support,8,medium,2
1041,support,8,medium,2
1042,support,8,medium,2
1043,support,8,medium,2
1044,support,8,medium,2
1045,support,8,medium,2
1046,support,8,medium,2
1047,technical,9,high,0
1048,technical,9,low,1
1049,technical,9,medium,2
1050,management,4,medium,2
1051,IT,0,medium,2
1052,IT,0,medium,2
1053,IT,0,low,1
1054,IT,0,low,1
1055,IT,0,low,1
1056,product_mng,6,low,1
1057,product_mng,6,low,1
1058,product_mng,6,low,1
1059,product_mng,6,low,1
1060,IT,0,low,1
1061,RandD,1,low,1
1062,RandD,1,low,1
1063,RandD,1,low,1
1064,RandD,1,low,1
1065,RandD,1,low,1
1066,marketing,5,low,1
1067,sales,7,low,1
1068,accounting,2,low,1
1069,support,8,low,1
1070,technical,9,low,1
1071,management,4,low,1
1072,marketing,5,low,1
1073,marketing,5,low,1
1074,marketing,5,medium,2
1075,sales,7,medium,2
1076,sales,7,medium,2
1077,sales,7,medium,2
1078,sales,7,medium,2
1079,sales,7,medium,2
1080,sales,7,medium,2
1081,sales,7,medium,2
1082,sales,7,medium,2
1083,sales,7,medium,2
1084,sales,7,medium,2
1085,sales,7,medium,2
1086,sales,7,high,0
1087,sales,7,low,1
1088,sales,7,medium,2
1089,sales,7,medium,2
1090,sales,7,medium,2
1091,sales,7,medium,2
1092,sales,7,low,1
1093,sales,7,low,1
1094,accounting,2,low,1
1095,accounting,2,low,1
1096,accounting,2,low,1
1097,hr,3,low,1
1098,hr,3,low,1
1099,hr,3,low,1
1100,hr,3,low,1
1101,technical,9,low,1
1102,technical,9,low,1
1103,technical,9,low,1
1104,technical,9,low,1
1105,technical,9,low,1
1106,technical,9,low,1
1107,technical,9,low,1
1108,technical,9,low,1
1109,technical,9,low,1
1110,technical,9,low,1
1111,technical,9,low,1
1112,support,8,low,1
1113,support,8,medium,2
1114,support,8,medium,2
1115,support,8,medium,2
1116,support,8,medium,2
1117,support,8,medium,2
1118,support,8,medium,2
1119,support,8,medium,2
1120,support,8,medium,2
1121,support,8,medium,2
1122,support,8,medium,2
1123,technical,9,medium,2
1124,technical,9,medium,2
1125,technical,9,high,0
1126,management,4,low,1
1127,IT,0,medium,2
1128,IT,0,medium,2
1129,IT,0,medium,2
1130,IT,0,medium,2
1131,IT,0,low,1
1132,product_mng,6,low,1
1133,product_mng,6,low,1
1134,product_mng,6,low,1
1135,product_mng,6,low,1
1136,IT,0,low,1
1137,sales,7,low,1
1138,sales,7,low,1
1139,sales,7,low,1
1140,sales,7,low,1
1141,sales,7,low,1
1142,marketing,5,low,1
1143,marketing,5,low,1
1144,sales,7,low,1
1145,accounting,2,low,1
1146,support,8,low,1
1147,technical,9,low,1
1148,management,4,low,1
1149,marketing,5,low,1
1150,marketing,5,low,1
1151,marketing,5,low,1
1152,sales,7,medium,2
1153,sales,7,medium,2
1154,sales,7,medium,2
1155,sales,7,medium,2
1156,sales,7,medium,2
1157,sales,7,medium,2
1158,sales,7,medium,2
1159,sales,7,medium,2
1160,sales,7,medium,2
1161,sales,7,medium,2
1162,sales,7,medium,2
1163,sales,7,medium,2
1164,sales,7,high,0
1165,sales,7,low,1
1166,sales,7,medium,2
1167,sales,7,medium,2
1168,sales,7,medium,2
1169,sales,7,medium,2
1170,sales,7,low,1
1171,accounting,2,low,1
1172,accounting,2,low,1
1173,accounting,2,low,1
1174,hr,3,low,1
1175,hr,3,low,1
1176,hr,3,low,1
1177,hr,3,low,1
1178,technical,9,low,1
1179,technical,9,low,1
1180,technical,9,low,1
1181,technical,9,low,1
1182,technical,9,low,1
1183,technical,9,low,1
1184,technical,9,low,1
1185,technical,9,low,1
1186,technical,9,low,1
1187,technical,9,low,1
1188,technical,9,low,1
1189,support,8,low,1
1190,support,8,low,1
1191,support,8,medium,2
1192,support,8,medium,2
1193,support,8,medium,2
1194,support,8,medium,2
1195,support,8,medium,2
1196,support,8,medium,2
1197,support,8,medium,2
1198,support,8,medium,2
1199,support,8,medium,2
1200,technical,9,medium,2
1201,technical,9,medium,2
1202,technical,9,medium,2
